内网收藏,#genre#
安徽卫视-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225925/index.m3u8
安徽卫视-IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8

辽宁卫视-IPV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
辽宁卫视-IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010061/1.m3u8

安徽综艺体育-内网,http://192.168.10.1:8205/udp/238.1.79.41:4440
安徽公共-内网,http://192.168.10.1:8205/udp/238.1.79.43:4456

央视高清,#genre#

CCTV1 综合-内网,http://192.168.10.1:8205/udp/238.1.78.166:7200
CCTV2 财经-内网,http://192.168.10.1:8205/udp/238.1.78.235:7752
CCTV3 综艺-内网,http://192.168.10.1:8205/udp/238.1.78.170:7232
CCTV4 中文国际-内网,http://192.168.10.1:8205/udp/238.1.78.236:7760
CCTV5 体育-内网,http://192.168.10.1:8205/udp/238.1.78.171:7240
CCTV5+体育赛事-内网,http://192.168.10.1:8205/udp/238.1.78.237:7768
CCTV6 电影-内网,http://192.168.10.1:8205/udp/238.1.78.172:7248
CCTV7 国防军事-内网,http://192.168.10.1:8205/udp/238.1.78.239:7784
CCTV8 电视剧-内网,http://192.168.10.1:8205/udp/238.1.78.173:7256
CCTV9 记录-内网,http://192.168.10.1:8205/udp/238.1.78.240:7792
CCTV10 科教-内网,http://192.168.10.1:8205/udp/238.1.78.241:7800
CCTV11 戏曲-内网,http://192.168.10.1:8205/udp/238.1.78.206:7502
CCTV12 社会与法-内网,http://192.168.10.1:8205/udp/238.1.78.242:7808
CCTV13 新闻-内网,http://192.168.10.1:8205/udp/238.1.79.35:4392
CCTV14 少儿-内网,http://192.168.10.1:8205/udp/238.1.78.243:7816
CCTV15 音乐-内网,http://192.168.10.1:8205/udp/238.1.78.222:7648
CGTN-内网,http://192.168.10.1:8205/udp/238.1.78.50:6272
CCTV17 农业农村-内网,http://192.168.10.1:8205/udp/238.1.78.178:7296
CCTV电视指南-内网,http://192.168.10.1:8205/udp/238.1.79.53:4560
CCTV央视文化精品-内网,http://192.168.10.1:8205/udp/238.1.79.54:4568
CCTV女性时尚-内网,http://192.168.10.1:8205/udp/238.1.79.55:4576
CCTV兵器科技-内网,http://192.168.10.1:8205/udp/238.1.79.56:4584
CCTV风云足球-内网,http://192.168.10.1:8205/udp/238.1.79.57:4592
CCTV世界地理-内网,http://192.168.10.1:8205/udp/238.1.79.60:4616
CCTV怀旧剧场-内网,http://192.168.10.1:8205/udp/238.1.79.61:4624
CCTV风云剧场-内网,http://192.168.10.1:8205/udp/238.1.79.62:4632
CCTV第一剧场-内网,http://192.168.10.1:8205/udp/238.1.79.63:4640
CCTV风云音乐-内网,http://192.168.10.1:8205/udp/238.1.79.64:4648
CCTV高尔夫网球-内网,http://192.168.10.1:8205/udp/238.1.79.58:4600
CCTV央视台球-内网,http://192.168.10.1:8205/udp/238.1.79.59:4608
CETV1-内网,http://192.168.10.1:8205/udp/238.1.78.158:7136
CETV2-内网,http://192.168.10.1:8205/udp/238.1.78.106:6720
CETV4-内网,http://192.168.10.1:8205/udp/238.1.78.107:6728

安徽本地,#genre#

安徽卫视FHD-内网,http://192.168.10.1:8205/udp/238.1.79.27:4328
安徽综艺体育-内网,http://192.168.10.1:8205/udp/238.1.79.41:4440
安徽公共-内网,http://192.168.10.1:8205/udp/238.1.79.43:4456
安徽经济-内网,http://192.168.10.1:8205/udp/238.1.79.44:4464
安徽影视-内网,http://192.168.10.1:8205/udp/238.1.79.42:4448
安徽科教-内网,http://192.168.10.1:8205/udp/238.1.79.40:4432
安徽人物-内网,http://192.168.10.1:8205/udp/238.1.79.45:4472
安徽国际-内网,http://192.168.10.1:8205/udp/238.1.78.61:6360
安徽导视-内网,http://192.168.10.1:8205/udp/238.1.79.66:4664
海豚生活HD-内网,http://192.168.10.1:8205/udp/238.1.79.50:4512
海豚少儿HD-内网,http://192.168.10.1:8205/udp/238.1.79.32:4368
海豚健康HD-内网,http://192.168.10.1:8205/udp/238.1.79.33:4376
海豚影视HD-内网,http://192.168.10.1:8205/udp/238.1.79.34:4384
家家购物-内网,http://192.168.10.1:8205/udp/238.1.78.32:6184

各省卫视,#genre#

北京卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.162:7168
天津卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.20:6088
重庆卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.31:6176
东方卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.163:7176
安徽卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.150:7072
江苏卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.165:7192
浙江卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.164:7184
黑龙江卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.159:7144
吉林卫视HD-内网,http://192.168.10.1:8205/udp/238.1.79.48:4496
辽宁卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.21:6096
东南卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.22:6104
四川卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.30:6168
江西卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.26:6136
广东卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.161:7160
海南卫视HD-内网,http://192.168.10.1:8205/udp/238.1.79.49:4504
湖北卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.168:7216
湖南卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.160:7152
贵州卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.244:7824
河北卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.245:7832
河南卫视HD-内网,http://192.168.10.1:8205/udp/238.1.79.65:4632
山东卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.169:7224
甘肃卫视HD-内网,http://192.168.10.1:8205/udp/238.1.79.36:4400
陕西卫视-内网,http://192.168.10.1:8205/udp/238.1.78.88:6576
云南卫视-内网,http://192.168.10.1:8205/udp/238.1.78.89:6584
山西卫视-内网,http://192.168.10.1:8205/udp/238.1.78.95:6632
青海卫视-内网,http://192.168.10.1:8205/udp/238.1.78.102:6688
广西卫视-内网,http://192.168.10.1:8205/udp/238.1.78.70:6432
内蒙古卫视-内网,http://192.168.10.1:8205/udp/238.1.78.103:6696
宁夏卫视-内网,http://192.168.10.1:8205/udp/238.1.78.109:6744
新疆卫视-内网,http://192.168.10.1:8205/udp/238.1.78.110:6752
西藏卫视-内网,http://192.168.10.1:8205/udp/238.1.78.101:6680
深圳卫视HD-内网,http://192.168.10.1:8205/udp/238.1.78.156:7120
兵团卫视-内网,http://192.168.10.1:8205/udp/238.1.78.104:6704
三沙卫视-内网,http://192.168.10.1:8205/udp/238.1.78.27:6144
厦门卫视-内网,http://192.168.10.1:8205/udp/238.1.78.246:7840

精品节目,#genre#

陶瓷HD-内网,http://192.168.10.1:8205/udp/238.1.78.157:7128
全纪实HD-内网,http://192.168.10.1:8205/udp/238.1.78.151:7080
纪实人文HD-内网,http://192.168.10.1:8205/udp/238.1.78.153:7096
动漫秀场HD-内网,http://192.168.10.1:8205/udp/238.1.78.154:7104
金鹰纪实HD-内网,http://192.168.10.1:8205/udp/238.1.79.9:4184
茶频道HD-内网,http://192.168.10.1:8205/udp/238.1.79.30:4352
快乐垂钓HD-内网,http://192.168.10.1:8205/udp/238.1.79.31:4360
生活时尚HD-内网,http://192.168.10.1:8205/udp/238.1.78.155:7112
体育赛事HD-内网,http://192.168.10.1:8205/udp/238.1.78.33:6192
中甲联赛HD-内网,http://192.168.10.1:8205/udp/238.1.79.39:4424
卡酷少儿-内网,http://192.168.10.1:8205/udp/238.1.78.97:6648
哈哈炫动-内网,http://192.168.10.1:8205/udp/238.1.78.82:6528
金鹰卡通-内网,http://192.168.10.1:8205/udp/238.1.78.100:6672
